tweet_id,date_time,favorites,retweets,user_followers,user_favourites
682047327939461121,2015-12-30 03:55:29,3515,1084,3768900,120161
682032003584274432,2015-12-30 02:54:35,7195,2278,3768900,120161
682003177596559360,2015-12-30 01:00:03,3448,1717,3768900,120161
681981167097122816,2015-12-29 23:32:35,3026,1158,3768900,120161
681891461017812993,2015-12-29 17:36:07,2696,948,3768901,120161
681694085539872773,2015-12-29 04:31:49,13953,4555,3768900,120161
681679526984871937,2015-12-29 03:33:58,1915,498,3768900,120161
681654059175129088,2015-12-29 01:52:46,2892,1039,3768901,120161
681610798867845120,2015-12-28 23:00:52,2093,529,3768901,120161
681579835668455424,2015-12-28 20:57:50,3873,1483,3768901,120161
681523177663676416,2015-12-28 17:12:42,15678,6576,3768901,120161
681340665377193984,2015-12-28 05:07:27,1797,312,3768901,120161
681339448655802368,2015-12-28 05:02:37,10153,4574,3768902,120161
681320187870711809,2015-12-28 03:46:05,2908,859,3768902,120161
681302363064414209,2015-12-28 02:35:15,4325,2063,3768902,120161
681297372102656000,2015-12-28 02:15:26,3474,1085,3768902,120161
681281657291280384,2015-12-28 01:12:59,3508,1254,3768902,120161
681261549936340994,2015-12-27 23:53:05,1588,308,3768903,120161
681242418453299201,2015-12-27 22:37:04,1638,618,3768903,120161
681231109724700672,2015-12-27 21:52:07,2616,539,3768903,120161
681193455364796417,2015-12-27 19:22:30,4052,1680,3768903,120161
680970795137544192,2015-12-27 04:37:44,2651,743,3768903,120161
680959110691590145,2015-12-27 03:51:18,4973,2238,3768903,120161
680940246314430465,2015-12-27 02:36:20,3525,1217,3768903,120161
680934982542561280,2015-12-27 02:15:25,2272,493,3768903,120161
680913438424612864,2015-12-27 00:49:49,2599,701,3768903,120161
680889648562991104,2015-12-26 23:15:17,1936,415,3768904,120161
680836378243002368,2015-12-26 19:43:36,3742,1501,3768904,120161
680805554198020098,2015-12-26 17:41:07,2357,745,3768905,120161
680801747103793152,2015-12-26 17:25:59,2585,923,3768906,120161
680798457301471234,2015-12-26 17:12:55,3118,1177,3768906,120161
680609293079592961,2015-12-26 04:41:15,2888,811,3768906,120161
